"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Mode","X8ABPH-MIRRORED","197.0393mm","167.4735mm","195.8943mm","171.323mm","195.8943mm","171.323mm","T","305.00","HEADER_4X2_RIGHT_ANGLED"
"L3","L1210","190.8604mm","148.4416mm","190.8604mm","148.4416mm","192.5749mm","148.4416mm","B","180.00","NLFV32T-470K-EF_47UH"
"L6","L1210","152.95mm","103.7mm","152.95mm","103.7mm","151.3389mm","103.1136mm","B","20.00","NLFV32T-470K-EF_47UH"
"L5","L1210","159.575mm","106.1mm","159.575mm","106.1mm","157.9639mm","105.5136mm","B","20.00","NLFV32T-470K-EF_47UH"
"J4","STRAP3_0402","142.9071mm","118.8728mm","142.9092mm","118.8672mm","143.9032mm","119.2354mm","B","200.00","JUMPER3_STRAP_0402"
"J3","STRAP3_0402","160.5639mm","123.4454mm","160.5583mm","123.4434mm","160.9265mm","122.4493mm","B","110.00","JUMPER3_STRAP_0402"
"J1","STRAP3_0402","155.4839mm","125.375mm","155.4896mm","125.377mm","155.1214mm","126.3711mm","B","290.00","JUMPER3_STRAP_0402"
"J2","STRAP3_0402","157.5944mm","126.123mm","157.6mm","126.125mm","157.2318mm","127.119mm","B","290.00","JUMPER3_STRAP_0402"
"C9","CAP0402","141.8366mm","120.5914mm","141.8366mm","120.5914mm","142.4333mm","120.8086mm","B","200.00","2.7NF_0402_50V_X7R"
"C10","CAP0402","162.325mm","124.725mm","162.325mm","124.725mm","162.5422mm","124.1283mm","B","110.00","2.7NF_0402_50V_X7R"
"R4","R0805","148.275mm","149.175mm","148.275mm","149.175mm","148.5964mm","150.0581mm","T","250.00","1.0K_0805_0.1W_1%"
"R11","R0805","144.578mm","160.4922mm","144.578mm","160.4922mm","143.6949mm","160.8137mm","T","340.00","10K_0805_0.1W_1%"
"R12","R0805","145.4468mm","162.8791mm","145.4468mm","162.8791mm","146.3299mm","162.5576mm","T","160.00","33K_0805_0.1W_1%"
"R13","R0805","157.4265mm","166.0872mm","157.4265mm","166.0872mm","157.7479mm","166.9703mm","T","250.00","2.4K_0805_0.1W_1%"
"R14","R0805","150.4744mm","168.2536mm","150.4744mm","168.2536mm","150.153mm","167.3705mm","T","70.00","1.0K_0805_0.1W_1%"
"R15","R0805","160.3mm","163.7mm","160.3mm","163.7mm","159.4169mm","164.0214mm","T","340.00","1.0K_0805_0.1W_1%"
"R16","R0805","156.9895mm","155.9748mm","156.9895mm","155.9748mm","156.1064mm","156.2963mm","T","340.00","1.0K_0805_0.1W_1%"
"R17","R0805","155.0397mm","166.956mm","155.0397mm","166.956mm","155.3611mm","167.8391mm","T","250.00","1.0K_0805_0.1W_1%"
"R21","R0805","160.6344mm","145.8356mm","160.6344mm","145.8356mm","160.6344mm","146.7754mm","T","270.00","10K_0805_0.1W_1%"
"R22","R0805","163.1744mm","145.8356mm","163.1744mm","145.8356mm","163.1744mm","144.8958mm","T","90.00","33K_0805_0.1W_1%"
"R23","R0805","170.2864mm","135.6756mm","170.2864mm","135.6756mm","171.2262mm","135.6756mm","T","180.00","2.4K_0805_0.1W_1%"
