Altium Designer Pick and Place Locations
D:\Projects\L7xx\L702_PBx_TSSOP20\L702_PBR_CSTSSOP20-0.65-KG1030-FA02-EE1\.\DOC - FULL\Pick Place\Pick Place for L702_PBR_CSTSSOP20-0.65-KG1030-FA02-EE1(FULL).csv

========================================================================================================================
File Design Information:

Date:       22.04.20
Time:       09:34
Revision:   Not in VersionControl
Variant:    FULL
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP12_FSO/ENABLE2","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","177.3100","163.0500","90","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"TP11_IBSTSENSEN2","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","195.0900","96.9353","90","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"TP10_IBSTSENSEP2","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","190.0100","96.9353","90","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"TP9_IBSTSENSEN1","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","184.9300","96.9800","90","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"TP8_IBSTSENSEP1","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","179.8500","96.9297","90","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"DUT_PBR",".ONSEMI_L702_PB_48_2800x2800mil","BottomLayer","PIGGYBACK_48Q_2800mil_BOTTOM_HEADER_TE-5-826629-0","186.1997","130.0000","180","341-8388    TE 5-826629-0 breakaway 50 pins header, 48of 50 pins;"
"TP20_COMP","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","192.5500","163.0500","90","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"TP19_VBOOSTDIV","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","197.6300","163.0500","90","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"TP18_ENABLE1","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","219.2200","143.9700","0","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
"TP17_BSTSYNC/TST/TST1","TP S200 H1.0 BLACK","TopLayer","TESTPIN2","219.2200","138.8900","0","873-1128    (PK100) TESTPIN 200 SER. HOLE 1.0 BLACK; 20-2137; VERO; RoHS=Yes (repl. for 240-333)"
